Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*106 W.A.*BY.R.L.2700.2700.1.06*0000000000004O7G,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*107 Sozialraum*BY.R.L.2700.2700.1.07*0000000000004O81,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*107A Kopierraum*BY.R.L.2700.2700.1.07A*0000000000004O92,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*107B Archivraum*BY.R.L.2700.2700.1.07B*0000000000004OA0,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*108 W.A.*BY.R.L.2700.2700.1.08*0000000000004O7O,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*108A Prof.*BY.R.L.2700.2700.1.08A*0000000000004O8J,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*109 Konferenzraum*BY.R.L.2700.2700.1.09*0000000000004O9N,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*110 W.A.*BY.R.L.2700.2700.1.10*000000000000AMFC,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*111 W.A.*BY.R.L.2700.2700.1.11*0000000000004O7E,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*112 W.A.*BY.R.L.2700.2700.1.12*0000000000004O86,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*113 W.A.*BY.R.L.2700.2700.1.13*0000000000004O98,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*114 W.A.*BY.R.L.2700.2700.1.14*0000000000004O8F,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*115 W.A.*BY.R.L.2700.2700.1.15*0000000000004O9I,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*116 W.A.*BY.R.L.2700.2700.1.16*0000000000004O76,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*117 WHK.*BY.R.L.2700.2700.1.17*0000000000004O7T,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*118 W.A.*BY.R.L.2700.2700.1.18*0000000000004O8R,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*119 W.A.*BY.R.L.2700.2700.1.19*0000000000004O9S,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*120 W.A.*BY.R.L.2700.2700.1.20*0000000000004O7J,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*121 Prof.*BY.R.L.2700.2700.1.21*0000000000004O8D,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*121A Prof.*BY.R.L.2700.2700.1.21A*0000000000004O9F,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*122 Gr. Seminarraum*BY.R.L.2700.2700.1.22*0000000000004OA4,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*123 Kl. Seminarraum*BY.R.L.2700.2700.1.23*0000000000004O9O,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*124 W.A.*BY.R.L.2700.2700.1.24*0000000000004O7F,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*125 W.A.*BY.R.L.2700.2700.1.25*0000000000004O80,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*126 Besprechungsraum*BY.R.L.2700.2700.1.26*0000000000004O8U,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*127 Sozialraum*BY.R.L.2700.2700.1.27*0000000000004O7M,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*127A WC D*BY.R.L.2700.2700.1.27A*0000000000004O8I,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*128 W.A.*BY.R.L.2700.2700.1.28*0000000000004O9D,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*129  W.A.*BY.R.L.2700.2700.1.29*0000000000004O78,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*129A Leiter d. Uni Jazz Orchester*BY.R.L.2700.2700.1.29A*0000000000004O7U,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*130 Prof.*BY.R.L.2700.2700.1.30*0000000000004O7K,,,
